ensemble,accuracy,f1_macro,precision_macro,recall_macro,loss,status,mode,evaluation_type,members
Soft: ResNet50 Best Three,0.995249406175772,0.9929004062053769,0.9937550924545111,0.9924615469089774,0.043641016087078995,completed,soft,ResNet50 Best Three,"ResNet50 Histogram Equalization, ResNet50 Edge Sharpening, ResNet50 Traffic Sign Boost"
Hard: ResNet50 Best Three,0.9927157561361837,0.9894518713618434,0.9896893224050832,0.9897370075070581,0.043641016087078995,completed,hard,ResNet50 Best Three,"ResNet50 Histogram Equalization, ResNet50 Edge Sharpening, ResNet50 Traffic Sign Boost"
Weighted: ResNet50 Best Three,0.995249406175772,0.9929004062053769,0.9937550924545111,0.9924615469089774,0.043641016087078995,completed,weighted,ResNet50 Best Three,"ResNet50 Histogram Equalization, ResNet50 Edge Sharpening, ResNet50 Traffic Sign Boost"
Soft: SwinV2-T Best Three,0.9900237529691212,0.9853354013243387,0.9875102403552033,0.9842963897904684,0.0779813790399154,completed,soft,SwinV2-T Best Three,"SwinV2-T Base, SwinV2-T Histogram Equalization, SwinV2-T Traffic Sign Boost"
Hard: SwinV2-T Best Three,0.9892319873317498,0.9850496677465217,0.9870971829392189,0.9838184243024781,0.0779813790399154,completed,hard,SwinV2-T Best Three,"SwinV2-T Base, SwinV2-T Histogram Equalization, SwinV2-T Traffic Sign Boost"
Weighted: SwinV2-T Best Three,0.9900237529691212,0.9853354013243387,0.9875102403552033,0.9842963897904684,0.0779813790399154,completed,weighted,SwinV2-T Best Three,"SwinV2-T Base, SwinV2-T Histogram Equalization, SwinV2-T Traffic Sign Boost"
Soft: CustomModel Best Three,0.9900237529691212,0.9856693273366883,0.9868735269058583,0.9849730660749036,0.14479468852689903,completed,soft,CustomModel Best Three,"CustomModel Weighted Loss Augmented Balanced, CustomModel Histogram Equalization, CustomModel Base"
Hard: CustomModel Best Three,0.9866983372921615,0.97956287445024,0.9780340998671776,0.9819602481154508,0.14479468852689903,completed,hard,CustomModel Best Three,"CustomModel Weighted Loss Augmented Balanced, CustomModel Histogram Equalization, CustomModel Base"
Weighted: CustomModel Best Three,0.9900237529691212,0.9856720649918844,0.9868819935377254,0.9849730660749036,0.14479468852689903,completed,weighted,CustomModel Best Three,"CustomModel Weighted Loss Augmented Balanced, CustomModel Histogram Equalization, CustomModel Base"
Soft: Best of Each Architecture,0.9936658749010293,0.9912617248158122,0.9917374766150187,0.9912879120471866,0.0805581531142866,completed,soft,Best of Each Architecture,"ResNet50 Histogram Equalization, SwinV2-T Base, CustomModel Weighted Loss Augmented Balanced"
Hard: Best of Each Architecture,0.9927157561361837,0.9895533004472422,0.9882714346397755,0.9911717606145282,0.0805581531142866,completed,hard,Best of Each Architecture,"ResNet50 Histogram Equalization, SwinV2-T Base, CustomModel Weighted Loss Augmented Balanced"
Weighted: Best of Each Architecture,0.9936658749010293,0.9912617248158122,0.9917374766150187,0.9912879120471866,0.0805581531142866,completed,weighted,Best of Each Architecture,"ResNet50 Histogram Equalization, SwinV2-T Base, CustomModel Weighted Loss Augmented Balanced"
Soft: All Nine Models,0.9950910530482977,0.9942977580913278,0.995056945224141,0.9937717096750126,0.08880569413786944,completed,soft,All Nine Models,"ResNet50 Histogram Equalization, ResNet50 Edge Sharpening, ResNet50 Traffic Sign Boost, SwinV2-T Base, SwinV2-T Histogram Equalization, SwinV2-T Traffic Sign Boost, CustomModel Weighted Loss Augmented Balanced, CustomModel Histogram Equalization, CustomModel Base"
Hard: All Nine Models,0.9950910530482977,0.9941804630811825,0.9948232700658399,0.9937262133110402,0.08880569413786944,completed,hard,All Nine Models,"ResNet50 Histogram Equalization, ResNet50 Edge Sharpening, ResNet50 Traffic Sign Boost, SwinV2-T Base, SwinV2-T Histogram Equalization, SwinV2-T Traffic Sign Boost, CustomModel Weighted Loss Augmented Balanced, CustomModel Histogram Equalization, CustomModel Base"
Weighted: All Nine Models,0.9950910530482977,0.9942977580913278,0.995056945224141,0.9937717096750126,0.08880569413786944,completed,weighted,All Nine Models,"ResNet50 Histogram Equalization, ResNet50 Edge Sharpening, ResNet50 Traffic Sign Boost, SwinV2-T Base, SwinV2-T Histogram Equalization, SwinV2-T Traffic Sign Boost, CustomModel Weighted Loss Augmented Balanced, CustomModel Histogram Equalization, CustomModel Base"
