,Precision,Recall,F1,Support
0,0.9974026083946228,0.9846153855323792,0.9909677505493164,390
1,0.9256756901741028,0.9133333563804626,0.9194630980491638,150
2,1.0,0.9666666388511658,0.9830508232116699,90
3,1.0,0.800000011920929,0.888888955116272,120
4,0.9868420958518982,1.0,0.9933774471282959,150
5,1.0,1.0,1.0,60
6,0.9890109896659851,1.0,0.9944751262664795,90
7,0.9375,1.0,0.9677419066429138,90
8,0.9836065769195557,1.0,0.9917355179786682,60
9,1.0,0.9833333492279053,0.9915966391563416,60
10,0.9890109896659851,1.0,0.9944751262664795,90
11,0.9866666793823242,0.9866666793823242,0.9866666793823242,150
12,1.0,0.9743589758872986,0.9870129823684692,390
13,0.9821428656578064,0.9166666865348816,0.9482758641242981,60
14,0.9359999895095825,0.9750000238418579,0.9551020860671997,120
15,1.0,1.0,1.0,90
16,0.9971098303794861,1.0,0.9985527992248535,690
17,1.0,1.0,1.0,360
18,0.9958506226539612,1.0,0.9979210495948792,480
19,1.0,0.9984848499298096,0.999241828918457,660
20,1.0,0.9904761910438538,0.9952153563499451,210
21,0.9677419066429138,1.0,0.9836065173149109,60
22,1.0,1.0,1.0,690
23,0.983132541179657,0.9714285731315613,0.9772455096244812,420
24,1.0,1.0,1.0,90
25,0.9221789836883545,0.987500011920929,0.953722357749939,480
26,1.0,0.9555555582046509,0.9772727489471436,90
27,1.0,0.9933333396911621,0.9966555237770081,150
28,1.0,0.9977777600288391,0.9988876581192017,450
29,1.0,0.9777777791023254,0.9887640476226807,450
30,0.9836065769195557,1.0,0.9917355179786682,60
31,0.9836065769195557,1.0,0.9917355179786682,720
32,0.9946523904800415,0.9919999837875366,0.9933244585990906,750
33,1.0,0.9688888788223267,0.9841986298561096,450
34,0.9984779357910156,0.9939393997192383,0.9962035417556763,660
35,0.9690402746200562,0.9936507940292358,0.9811912178993225,630
36,1.0,1.0,1.0,270
37,1.0,0.9888888597488403,0.9944133758544922,180
38,0.9599999785423279,1.0,0.9795917868614197,120
39,0.9905213117599487,0.9952380657196045,0.9928740859031677,210
40,1.0,1.0,1.0,150
41,0.985401451587677,1.0,0.992647111415863,270
42,1.0,0.9986110925674438,0.9993050694465637,720
